run,model_id,mode,thinking,max_new_tokens,data_csv,n_total,n_scored,timestamp,parse_failures_pct,invalid_smiles_pct,mean_proposals,top1_all_correct,top1_any_correct,top1_maxfrag,top1_n_all_correct,top1_n_any_correct,top1_n_maxfrag,topk_all_correct,topk_any_correct,topk_maxfrag,topk_n_all_correct,topk_n_any_correct,topk_n_maxfrag,view,az_model,az_config
uspto_50k_test_250_Qwen3-Next-80B-A3B-Instruct_deepretro_raw,hosted_vllm/Qwen/Qwen3-Next-80B-A3B-Instruct,raw,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-25T13:07:51,2.8,67.2,4.7,1.6,8.4,4.0,4,21,10,4.4,13.2,7.6,11,33,19,,,
uspto_50k_test_250_Qwen3-Next-80B-A3B-Instruct_deepretro_raw,hosted_vllm/Qwen/Qwen3-Next-80B-A3B-Instruct,raw,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-25T13:10:09,2.8,67.2,4.7,1.6,8.4,4.0,4,21,10,4.4,13.2,7.6,11,33,19,,,
uspto_50k_test_250_Qwen3-Next-80B-A3B-Instruct_deepretro_raw,hosted_vllm/Qwen/Qwen3-Next-80B-A3B-Instruct,raw,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-25T13:26:45,2.8,67.2,4.7,1.6,8.4,4.0,4,21,10,4.4,13.2,7.6,11,33,19,,,
uspto_50k_test_250_Qwen3-Next-80B-A3B-Instruct_deepretro_raw,hosted_vllm/Qwen/Qwen3-Next-80B-A3B-Instruct,raw,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-25T14:29:15,2.8,67.2,4.7,1.6,8.4,4.0,4,21,10,4.4,13.2,7.6,11,33,19,,,
uspto_50k_test_250_Qwen3-Next-80B-A3B-Instruct_deepretro_raw,hosted_vllm/Qwen/Qwen3-Next-80B-A3B-Instruct,raw,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-25T14:29:31,2.8,67.2,4.7,1.6,8.4,4.0,4,21,10,4.4,13.2,7.6,11,33,19,,,
uspto_50k_test_250_Qwen3-Next-80B-A3B-Instruct_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-Next-80B-A3B-Instruct,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-25T14:48:18,15.2,0.0,2.636,2.8,10.4,6.8,7,26,17,7.2,15.6,10.8,18,39,27,hybrid,USPTO,/root/workspace/DFS/DeepRetro/aizynthfinder/models/USPTO/config.yml
uspto_50k_test_250_Qwen3-Next-80B-A3B-Instruct_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-Next-80B-A3B-Instruct,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-25T14:48:18,100.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,az,USPTO,/root/workspace/DFS/DeepRetro/aizynthfinder/models/USPTO/config.yml
uspto_50k_test_250_Qwen3-Next-80B-A3B-Instruct_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-Next-80B-A3B-Instruct,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-25T14:48:18,15.2,0.0,2.636,2.8,10.4,6.8,7,26,17,7.2,15.6,10.8,18,39,27,llm,USPTO,/root/workspace/DFS/DeepRetro/aizynthfinder/models/USPTO/config.yml
uspto_50k_test_250_Qwen3-Next-80B-A3B-Instruct_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-Next-80B-A3B-Instruct,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-25T15:06:02,7.2,0.0,4.216,24.0,33.6,28.8,60,84,72,36.4,50.4,43.2,91,126,108,hybrid,USPTO,/root/workspace/DFS/DeepRetro/aizynthfinder/models/USPTO/config.yml
uspto_50k_test_250_Qwen3-Next-80B-A3B-Instruct_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-Next-80B-A3B-Instruct,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-25T15:06:02,36.0,0.0,3.3,23.6,30.4,26.4,59,76,66,34.8,44.4,39.6,87,111,99,az,USPTO,/root/workspace/DFS/DeepRetro/aizynthfinder/models/USPTO/config.yml
uspto_50k_test_250_Qwen3-Next-80B-A3B-Instruct_deepretro_autosolve_USPTO,hosted_vllm/Qwen/Qwen3-Next-80B-A3B-Instruct,autosolve,False,1024,/root/workspace/DFS/DeepRetro/data/uspto_50k_test_250.csv,250,250,2026-09-25T15:06:02,15.2,0.0,2.636,2.8,10.4,6.8,7,26,17,7.2,15.6,10.8,18,39,27,llm,USPTO,/root/workspace/DFS/DeepRetro/aizynthfinder/models/USPTO/config.yml
